State,County,Female life expectancy (years),Male life expectancy (years)
Nevada,Clark County,80.39,75.74
Nevada,Douglas County,82.3,77.22
Nevada,Elko County,80.68,75.44
Nevada,Esmeralda County,76.71,71.12
Nevada,Eureka County,79.61,74.76
Nevada,Humboldt County,79.2,74.86
Nevada,Lander County,79.61,74.76
Nevada,Lincoln County,80.39,75.74
Nevada,Lyon County,79.34,74.7
Nevada,Mineral County,76.71,71.12
Nevada,Nye County,76.71,71.12
Nevada,Pershing County,79.2,74.86
Nevada,Storey County,79.34,74.7
Nevada,Washoe County,79.8,75.62
Nevada,White Pine County,79.61,74.76
Nevada,Carson City,78.82,74.14
New Hampshire,Belknap County,80.89,76.48
New Hampshire,Carroll County,82.41,77.67
New Hampshire,Cheshire County,81.87,77.04
New Hampshire,Coos County,79.98,75.51
New Hampshire,Grafton County,82.54,78.49
New Hampshire,Hillsborough County,82.02,78.37
New Hampshire,Merrimack County,82.23,77.8
New Hampshire,Rockingham County,82.34,78.55
New Hampshire,Strafford County,81.21,76.57
New Hampshire,Sullivan County,81.01,76.49
New Jersey,Atlantic County,79.3,75.31
New Jersey,Bergen County,84.26,80.53
New Jersey,Burlington County,81.3,77.49
New Jersey,Camden County,79.99,75.33
New Jersey,Cape May County,81,74.82
New Jersey,Cumberland County,79.13,74.37
New Jersey,Essex County,80.5,75.26
New Jersey,Gloucester County,80.55,75.92
New Jersey,Hudson County,82.17,77.16
New Jersey,Hunterdon County,83.29,79.45
New Jersey,Mercer County,81.45,76.89
New Jersey,Middlesex County,82.93,78.48
New Jersey,Monmouth County,82.13,77.62
New Jersey,Morris County,83.65,80.04
New Jersey,Ocean County,81.44,76.53
New Jersey,Passaic County,82.34,77.22
New Jersey,Salem County,79.36,73.44
New Jersey,Somerset County,83.77,80.18
New Jersey,Sussex County,81.23,76.81
New Jersey,Union County,82.39,77.77
New Jersey,Warren County,81.94,77.49
New Mexico,Bernalillo County,81.21,75.96
New Mexico,Catron County,80.16,72.94
New Mexico,Chaves County,78.88,73.27
New Mexico,Cibola County,78.23,74.11
New Mexico,Colfax County,80.97,75.93
New Mexico,Curry County,79.42,75.07
New Mexico,De Baca County,79.14,72.77
New Mexico,Dona Ana County,81.49,75.78
New Mexico,Eddy County,79.2,73.27
New Mexico,Grant County,80.62,75.08
New Mexico,Guadalupe County,79.14,72.77
New Mexico,Harding County,80.97,75.93
New Mexico,Hidalgo County,79.65,73.57
New Mexico,Lea County,78.55,72.52
New Mexico,Lincoln County,82.3,77.05
New Mexico,Los Alamos County,83.86,80.82
New Mexico,Luna County,79.65,73.57
New Mexico,McKinley County,79.03,70.72
New Mexico,Mora County,81.9,76.69
New Mexico,Otero County,80.14,74.99
New Mexico,Quay County,79.14,72.77
New Mexico,Rio Arriba County,79.57,70.31
New Mexico,Roosevelt County,79.35,74.19
New Mexico,Sandoval County,81.78,77.04
New Mexico,San Juan County,79.23,74.35
New Mexico,San Miguel County,79.75,72.85
New Mexico,Santa Fe County,82.44,77.78
New Mexico,Sierra County,80.16,72.94
New Mexico,Socorro County,79.26,73.85
New Mexico,Taos County,81.9,76.69
New Mexico,Torrance County,79.71,74.98
New Mexico,Union County,80.97,75.93
New Mexico,Valencia County,79.67,74.51
New York,Albany County,81.49,77.38
New York,Allegany County,80.06,77.35
New York,Bronx County,81.2,74.98
New York,Broome County,80.98,76.15
New York,Cattaraugus County,79.07,74.88
New York,Cayuga County,81.74,77.03
New York,Chautauqua County,80.66,75.46
New York,Chemung County,80.14,75.57
New York,Chenango County,80.04,76.31
New York,Clinton County,81.33,76.5
New York,Columbia County,80.9,76.32
New York,Cortland County,79.71,76.88
New York,Delaware County,80.57,76.38
New York,Dutchess County,81.81,77.91
New York,Erie County,80.31,75.72
New York,Essex County,81.14,77.32
New York,Franklin County,79.77,76.95
New York,Fulton County,80.64,76.15
New York,Genesee County,81.01,75.74
New York,Greene County,80.46,75.16
New York,Hamilton County,81.14,77.32
New York,Herkimer County,81.16,77.2
New York,Jefferson County,80.11,75.49
New York,Kings County,82.39,77.26
New York,Lewis County,81.75,75.99
New York,Livingston County,81.54,77.57
New York,Madison County,81.25,77.77
New York,Monroe County,81.65,77.65
New York,Montgomery County,79.84,76.13
New York,Nassau County,83.62,79.59
New York,New York County,84.09,79.26
New York,Niagara County,79.64,75.54
New York,Oneida County,80.88,76.05
New York,Onondaga County,81.76,76.92
New York,Ontario County,81.88,76.84
New York,Orange County,81.03,77.63
New York,Orleans County,80.37,76.06
New York,Oswego County,79.99,75.85
New York,Otsego County,81.33,76.79
New York,Putnam County,82.41,78.7
New York,Queens County,83.79,78.98
New York,Rensselaer County,79.93,76.48
New York,Richmond County,81.61,77.25
New York,Rockland County,83.43,79.6
New York,St. Lawrence County,79.63,75.52
New York,Saratoga County,82.37,78.66
New York,Schenectady County,81.61,76.91
New York,Schoharie County,81.8,77.43
New York,Schuyler County,79.12,76.37
New York,Seneca County,80.68,76.8
New York,Steuben County,80.45,75.92
New York,Suffolk County,82.27,78.01
New York,Sullivan County,79.06,74.97
New York,Tioga County,82.22,77.56
New York,Tompkins County,82.17,78.81
New York,Ulster County,81.23,77.13
New York,Warren County,81.98,77.62
New York,Washington County,80.37,77.16
New York,Wayne County,80.58,76.83
New York,Westchester County,84.05,79.83
New York,Wyoming County,80.19,76.76
New York,Yates County,80.45,77.12
North Carolina,Alamance County,80.19,74.63
North Carolina,Alexander County,79.33,73.84
North Carolina,Alleghany County,80.48,74
North Carolina,Anson County,77.18,71.32
North Carolina,Ashe County,80.48,74
North Carolina,Avery County,79.18,74.68
North Carolina,Beaufort County,78.45,73.44
North Carolina,Bertie County,78.26,70.65
North Carolina,Bladen County,76.57,70.87
North Carolina,Brunswick County,80.04,74.96
North Carolina,Buncombe County,80.33,75.9
North Carolina,Burke County,78.22,72.96
North Carolina,Cabarrus County,79.76,75.04
North Carolina,Caldwell County,78.33,72.46
North Carolina,Camden County,78.63,74.25
North Carolina,Carteret County,79.4,74.53
North Carolina,Caswell County,78.65,73.42
North Carolina,Catawba County,78.4,73.48
North Carolina,Chatham County,82.37,77.16
North Carolina,Cherokee County,80.13,74.24
North Carolina,Chowan County,80.28,74.21
North Carolina,Clay County,80.13,74.24
North Carolina,Cleveland County,77.99,71.5
North Carolina,Columbus County,75.06,70.24
North Carolina,Craven County,79.72,75.24
North Carolina,Cumberland County,78.16,73.17
North Carolina,Currituck County,79.43,74.25
North Carolina,Dare County,81.19,76.33
North Carolina,Davidson County,79.33,73.88
North Carolina,Davie County,81.04,75.71
North Carolina,Duplin County,79.29,73.94
North Carolina,Durham County,80.28,75.33
North Carolina,Edgecombe County,77.93,71.04
North Carolina,Forsyth County,80.38,75.53
North Carolina,Franklin County,79.44,74.29
North Carolina,Gaston County,77.29,72.74
North Carolina,Gates County,78.63,74.25
North Carolina,Graham County,78.08,71.17
North Carolina,Granville County,78.71,74.26
North Carolina,Greene County,77.84,73.73
North Carolina,Guilford County,80.38,76.15
North Carolina,Halifax County,77.49,70.71
North Carolina,Harnett County,79.05,72.94
North Carolina,Haywood County,80.29,75.15
North Carolina,Henderson County,81.37,76.22
North Carolina,Hertford County,77.57,71.85
North Carolina,Hoke County,78.7,74.04
North Carolina,Hyde County,77.77,72.58
North Carolina,Iredell County,79.45,74.71
North Carolina,Jackson County,80.71,74.81
North Carolina,Johnston County,79.88,74.29
North Carolina,Jones County,79.29,73.94
North Carolina,Lee County,79.79,72.58
North Carolina,Lenoir County,77.75,70.95
North Carolina,Lincoln County,78.57,74.62
North Carolina,McDowell County,79.49,74.13
North Carolina,Macon County,81.18,75.89
North Carolina,Madison County,79.88,74.78
North Carolina,Martin County,77.81,71.29
North Carolina,Mecklenburg County,81.68,76.72
North Carolina,Mitchell County,78.43,73.62
North Carolina,Montgomery County,79.98,73.93
North Carolina,Moore County,81.85,76.08
North Carolina,Nash County,79.18,72.12
North Carolina,New Hanover County,81.38,76.56
North Carolina,Northampton County,77.8,72.05
North Carolina,Onslow County,79.54,75.38
North Carolina,Orange County,82.04,78.33
North Carolina,Pamlico County,78.45,73.44
North Carolina,Pasquotank County,78.86,73.91
North Carolina,Pender County,79.93,75.15
North Carolina,Perquimans County,80.28,74.21
North Carolina,Person County,77.89,73.17
North Carolina,Pitt County,79.57,74.32
North Carolina,Polk County,80.78,74.93
North Carolina,Randolph County,79.37,73.63
North Carolina,Richmond County,76.18,70.71
North Carolina,Robeson County,76.53,70.58
North Carolina,Rockingham County,78.04,72.68
North Carolina,Rowan County,78.81,73
North Carolina,Rutherford County,78.49,72.55
North Carolina,Sampson County,78.2,71.06
North Carolina,Scotland County,77.55,70.7
North Carolina,Stanly County,78.75,73.62
North Carolina,Stokes County,78.3,74.34
North Carolina,Surry County,78.86,72.29
North Carolina,Swain County,78.08,71.17
North Carolina,Transylvania County,82.36,77.29
North Carolina,Tyrrell County,77.77,72.58
North Carolina,Union County,81.07,76.23
North Carolina,Vance County,77.99,70.44
North Carolina,Wake County,82.45,78.72
North Carolina,Warren County,78.52,72.82
North Carolina,Washington County,77.77,72.58
North Carolina,Watauga County,82.34,76.95
North Carolina,Wayne County,77.99,72.66
North Carolina,Wilkes County,78.61,73.43
North Carolina,Wilson County,78.28,72.95
North Carolina,Yadkin County,78.97,74.29
North Carolina,Yancey County,79.49,74.14
North Dakota,Adams County,82.95,77.28
North Dakota,Barnes County,81.96,76.63
North Dakota,Benson County,82.13,75.97
North Dakota,Billings County,82.59,76.86
North Dakota,Bottineau County,78.99,74.61
North Dakota,Bowman County,82.95,77.28
North Dakota,Burke County,81.67,76.24
North Dakota,Burleigh County,82.81,77.92
North Dakota,Cass County,82.5,77.04
North Dakota,Cavalier County,82.02,76.83
North Dakota,Dickey County,82.87,77.16
North Dakota,Divide County,81.67,76.24
North Dakota,Dunn County,82.59,76.86
North Dakota,Eddy County,81.36,76.7
North Dakota,Emmons County,80.91,74.15
North Dakota,Foster County,81.36,76.7
North Dakota,Golden Valley County,82.59,76.86
North Dakota,Grand Forks County,81.89,77.06
North Dakota,Grant County,82.95,77.28
North Dakota,Griggs County,81.36,76.7
North Dakota,Hettinger County,82.95,77.28
North Dakota,Kidder County,81.98,76.7
North Dakota,LaMoure County,82.87,77.16
North Dakota,Logan County,81.98,76.7
North Dakota,McHenry County,78.99,74.61
North Dakota,McIntosh County,81.98,76.7
North Dakota,McKenzie County,82.59,76.86
North Dakota,McLean County,82.74,76.57
North Dakota,Mercer County,82.74,76.57
North Dakota,Morton County,80.91,74.15
North Dakota,Mountrail County,80.77,76.24
North Dakota,Nelson County,81.36,76.7
North Dakota,Oliver County,82.81,77.92
North Dakota,Pembina County,82.08,76.7
North Dakota,Pierce County,82.13,75.97
North Dakota,Ramsey County,82.02,76.83
North Dakota,Ransom County,81.96,76.63
North Dakota,Renville County,78.99,74.61
North Dakota,Richland County,83.24,77.84
North Dakota,Rolette County,78.99,74.61
North Dakota,Sargent County,82.87,77.16
North Dakota,Sheridan County,82.13,75.97
North Dakota,Sioux County,80.91,74.15
North Dakota,Slope County,82.95,77.28
North Dakota,Stark County,82.95,77.28
North Dakota,Steele County,81.36,76.7
North Dakota,Stutsman County,81.98,76.7
North Dakota,Towner County,82.02,76.83
North Dakota,Traill County,81.89,77.06
North Dakota,Walsh County,82.08,76.7
North Dakota,Ward County,80.77,76.24
North Dakota,Wells County,82.13,75.97
North Dakota,Williams County,81.67,76.24
Ohio,Adams County,77.84,71.14
Ohio,Allen County,79.04,75.11
Ohio,Ashland County,79.73,75.74
Ohio,Ashtabula County,78.11,73.67
Ohio,Athens County,79.05,72.73
Ohio,Auglaize County,80.42,75.51
Ohio,Belmont County,78.84,74.13
Ohio,Brown County,78.19,73.11
Ohio,Butler County,79.33,75.83
Ohio,Carroll County,79.84,76.15
Ohio,Champaign County,78.85,74.44
Ohio,Clark County,77.6,73.22
Ohio,Clermont County,79.85,75.1
Ohio,Clinton County,78.22,74.09
Ohio,Columbiana County,79.49,74.8
Ohio,Coshocton County,79.27,75.39
Ohio,Crawford County,80.02,74.11
Ohio,Cuyahoga County,79.86,74.85
Ohio,Darke County,80.54,76.35
Ohio,Defiance County,80.3,75.09
Ohio,Delaware County,82.79,79.31
Ohio,Erie County,80.36,74.6
Ohio,Fairfield County,80.6,76.23
Ohio,Fayette County,78.53,71.78
Ohio,Franklin County,79.41,74.55
Ohio,Fulton County,80.38,76.08
Ohio,Gallia County,78.94,72.18
Ohio,Geauga County,82.87,79.22
Ohio,Greene County,81.07,77.05
Ohio,Guernsey County,78.47,73.08
Ohio,Hamilton County,79.01,74.8
Ohio,Hancock County,80.81,76.66
Ohio,Hardin County,77.98,73.95
Ohio,Harrison County,78.47,72.61
Ohio,Henry County,81.12,76.24
Ohio,Highland County,78.22,71.7
Ohio,Hocking County,78.68,74.92
Ohio,Holmes County,80.01,75.2
Ohio,Huron County,79.53,75.16
Ohio,Jackson County,76.76,71.06
Ohio,Jefferson County,77.84,71.79
Ohio,Knox County,78.81,75.17
Ohio,Lake County,80.6,76.43
Ohio,Lawrence County,77.86,72.55
Ohio,Licking County,79.96,75.16
Ohio,Logan County,79.08,74.28
Ohio,Lorain County,80.44,76
Ohio,Lucas County,79.18,74.32
Ohio,Madison County,79.6,74.36
Ohio,Mahoning County,79.08,73.66
Ohio,Marion County,78.93,74.51
Ohio,Medina County,81.79,78.41
Ohio,Meigs County,78.73,72.13
Ohio,Mercer County,81.58,76.34
Ohio,Miami County,80.93,75.67
Ohio,Monroe County,79.87,77.05
Ohio,Montgomery County,78.76,73.77
Ohio,Morgan County,79.4,74.38
Ohio,Morrow County,80.27,73.93
Ohio,Muskingum County,78.66,73.37
Ohio,Noble County,79.87,77.05
Ohio,Ottawa County,81.05,76.62
Ohio,Paulding County,80.42,74.14
Ohio,Perry County,79.46,73.39
Ohio,Pickaway County,78.16,74.41
Ohio,Pike County,77.52,72.07
Ohio,Portage County,80.09,76.45
Ohio,Preble County,80.04,74.4
Ohio,Putnam County,81.19,77
Ohio,Richland County,79.57,74.69
Ohio,Ross County,78.19,72.55
Ohio,Sandusky County,79.38,74.05
Ohio,Scioto County,76.79,70.59
Ohio,Seneca County,80.23,75.67
Ohio,Shelby County,80.13,76.23
Ohio,Stark County,80.61,75.45
Ohio,Summit County,80.04,75.23
Ohio,Trumbull County,79.48,73.95
Ohio,Tuscarawas County,80.62,75.74
Ohio,Union County,79.9,76.52
Ohio,Van Wert County,81.36,75.66
Ohio,Vinton County,78.73,72.13
Ohio,Warren County,80.49,77.7
Ohio,Washington County,79.74,75.18
Ohio,Wayne County,80.04,76.22
Ohio,Williams County,80.64,76.18
Ohio,Wood County,80.83,77.19
Ohio,Wyandot County,81.16,75.45
Oklahoma,Adair County,76.87,72.19
Oklahoma,Alfalfa County,79.32,75.72
Oklahoma,Atoka County,77.21,72.21
Oklahoma,Beaver County,79.48,74.8
Oklahoma,Beckham County,75.44,71.61
Oklahoma,Blaine County,79.24,74.01
Oklahoma,Bryan County,78.23,73.32
Oklahoma,Caddo County,76.96,70.77
Oklahoma,Canadian County,80.1,75.77
Oklahoma,Carter County,75.08,70.77
Oklahoma,Cherokee County,78.79,72.55
Oklahoma,Choctaw County,77.21,72.21
Oklahoma,Cimarron County,79.48,74.8
Oklahoma,Cleveland County,79.59,76.22
Oklahoma,Coal County,75.87,70.39
Oklahoma,Comanche County,77.1,73.3
Oklahoma,Cotton County,76.46,72.3
Oklahoma,Craig County,77.38,72.34
Oklahoma,Creek County,76.64,71.23
Oklahoma,Custer County,79.09,71.76
Oklahoma,Delaware County,79.76,73.72
Oklahoma,Dewey County,79.09,71.76
Oklahoma,Ellis County,79.48,74.8
Oklahoma,Garfield County,77.5,73.09
Oklahoma,Garvin County,75.8,70.54
Oklahoma,Grady County,78.73,73.64
Oklahoma,Grant County,79.4,74.7
Oklahoma,Greer County,77.1,71.81
Oklahoma,Harmon County,75.44,71.61
Oklahoma,Harper County,79.48,74.8
Oklahoma,Haskell County,78.42,73.38
Oklahoma,Hughes County,76.49,70.83
Oklahoma,Jackson County,77.64,73.29
Oklahoma,Jefferson County,76.46,72.3
Oklahoma,Johnston County,75.87,70.39
Oklahoma,Kay County,78,72.26
Oklahoma,Kingfisher County,79.24,74.01
Oklahoma,Kiowa County,77.1,71.81
Oklahoma,Latimer County,78.42,73.38
Oklahoma,Le Flore County,76.56,70.26
Oklahoma,Lincoln County,78.14,73.33
Oklahoma,Logan County,79.49,75.43
Oklahoma,Love County,77.93,74.19
Oklahoma,McClain County,78.54,74.49
Oklahoma,McCurtain County,75.37,69.23
Oklahoma,McIntosh County,76.72,71.94
Oklahoma,Major County,79.32,75.72
Oklahoma,Marshall County,77.93,74.19
Oklahoma,Mayes County,78.62,71.86
Oklahoma,Murray County,75.8,70.54
Oklahoma,Muskogee County,75.58,70.07
Oklahoma,Noble County,79.4,74.7
Oklahoma,Nowata County,77.38,72.34
Oklahoma,Okfuskee County,76.49,70.83
Oklahoma,Oklahoma County,78.05,73.28
Oklahoma,Okmulgee County,76.62,71.15
Oklahoma,Osage County,79.2,73.57
Oklahoma,Ottawa County,76.65,70.15
Oklahoma,Pawnee County,78.29,71.31
Oklahoma,Payne County,79.63,75.09
Oklahoma,Pittsburg County,77.25,70.88
Oklahoma,Pontotoc County,75.92,70.89
Oklahoma,Pottawatomie County,77.25,71.96
Oklahoma,Pushmataha County,75.37,69.23
Oklahoma,Roger Mills County,79.09,71.76
Oklahoma,Rogers County,79.28,75.61
Oklahoma,Seminole County,75.05,69.85
Oklahoma,Sequoyah County,76.7,70.67
Oklahoma,Stephens County,76.87,72.26
Oklahoma,Texas County,79.48,74.8
Oklahoma,Tillman County,76.46,72.3
Oklahoma,Tulsa County,78.89,73.6
Oklahoma,Wagoner County,79.33,74.14
Oklahoma,Washington County,79.13,75.12
Oklahoma,Washita County,76.96,70.77
Oklahoma,Woods County,79.32,75.72
Oklahoma,Woodward County,77.73,73.49
Oregon,Baker County,81.4,75.74
Oregon,Benton County,82.54,79.93
Oregon,Clackamas County,81.63,78.45
Oregon,Clatsop County,80.6,76.03
Oregon,Columbia County,80.9,75.49
Oregon,Coos County,78.45,74.35
Oregon,Crook County,80.4,76.9
Oregon,Curry County,80.59,74.25
Oregon,Deschutes County,82.19,78.03
Oregon,Douglas County,79.61,75.12
Oregon,Gilliam County,80.58,75.38
Oregon,Grant County,81.31,76.23
Oregon,Harney County,81.31,76.23
Oregon,Hood River County,80.82,77.94
Oregon,Jackson County,80.74,76.54
Oregon,Jefferson County,80.2,75.62
Oregon,Josephine County,80.07,74.53
Oregon,Klamath County,79.18,73.97
Oregon,Lake County,79.18,73.97
Oregon,Lane County,81.2,77.37
Oregon,Lincoln County,80.02,74.65
Oregon,Linn County,79.4,76.03
Oregon,Malheur County,79.28,74.87
Oregon,Marion County,80.6,76.25
Oregon,Morrow County,79.6,75.29
Oregon,Multnomah County,81.3,76.47
Oregon,Polk County,81.64,77.55
Oregon,Sherman County,80.58,75.38
Oregon,Tillamook County,81.12,76.39
Oregon,Umatilla County,79.6,75.29
Oregon,Union County,80.55,76.04
Oregon,Wallowa County,81.4,75.74
Oregon,Wasco County,80.58,75.38
Oregon,Washington County,83.42,79.44
Oregon,Wheeler County,79.6,75.29
Oregon,Yamhill County,81.51,78.05
Pennsylvania,Adams County,80.66,77.18
Pennsylvania,Allegheny County,80.59,75.3
Pennsylvania,Armstrong County,79.73,75.76
Pennsylvania,Beaver County,80.09,75.16
Pennsylvania,Bedford County,80.38,76.7
Pennsylvania,Berks County,81.6,76.63
Pennsylvania,Blair County,79.62,74.77
Pennsylvania,Bradford County,79.62,75.27
Pennsylvania,Bucks County,81.93,77.56
Pennsylvania,Butler County,81.03,77.44
Pennsylvania,Cambria County,80.15,73.96
Pennsylvania,Cameron County,80.78,75.62
Pennsylvania,Carbon County,79.66,74.39
Pennsylvania,Centre County,82.08,78.75
Pennsylvania,Chester County,82.79,78.75
Pennsylvania,Clarion County,80.4,74.94
Pennsylvania,Clearfield County,79.96,74.94
Pennsylvania,Clinton County,79.98,75.4
Pennsylvania,Columbia County,80.62,75.32
Pennsylvania,Crawford County,79.74,75
Pennsylvania,Cumberland County,82.25,77.77
Pennsylvania,Dauphin County,80.28,75.3
Pennsylvania,Delaware County,80.37,75.07
Pennsylvania,Elk County,81.1,75.57
Pennsylvania,Erie County,79.99,75.85
Pennsylvania,Fayette County,78.51,72.18
Pennsylvania,Forest County,81.1,75.57
Pennsylvania,Franklin County,81.68,76.24
Pennsylvania,Fulton County,80.41,74.7
Pennsylvania,Greene County,78.36,74.21
Pennsylvania,Huntingdon County,80.87,76.15
Pennsylvania,Indiana County,80.51,75.81
Pennsylvania,Jefferson County,79.6,74.16
Pennsylvania,Juniata County,80.64,75.18
Pennsylvania,Lackawanna County,79.8,74.7
Pennsylvania,Lancaster County,82.25,77.67
Pennsylvania,Lawrence County,80.3,74.52
Pennsylvania,Lebanon County,81.51,76.63
Pennsylvania,Lehigh County,81.69,76.93
Pennsylvania,Luzerne County,79.95,74.28
Pennsylvania,Lycoming County,80.03,75.76
Pennsylvania,McKean County,79.19,75.57
Pennsylvania,Mercer County,79.83,74.91
Pennsylvania,Mifflin County,79.69,75.54
Pennsylvania,Monroe County,81.2,76.16
Pennsylvania,Montgomery County,82.25,78.23
Pennsylvania,Montour County,81.38,76.4
Pennsylvania,Northampton County,81.69,77.43
Pennsylvania,Northumberland County,80.52,74.91
Pennsylvania,Perry County,79.86,74.69
Pennsylvania,Philadelphia County,78.41,71.53
Pennsylvania,Pike County,82.18,77.79
Pennsylvania,Potter County,80.78,75.62
Pennsylvania,Schuylkill County,79.54,74.72
Pennsylvania,Snyder County,80.76,76.41
Pennsylvania,Somerset County,81.51,75.31
Pennsylvania,Sullivan County,79.61,74.02
Pennsylvania,Susquehanna County,80.93,75.59
Pennsylvania,Tioga County,80.29,76.08
Pennsylvania,Union County,81.95,77.79
Pennsylvania,Venango County,79.56,74.61
Pennsylvania,Warren County,80.12,75.55
Pennsylvania,Washington County,79.75,75.34
Pennsylvania,Wayne County,81.63,75.51
Pennsylvania,Westmoreland County,80.81,76.37
Pennsylvania,Wyoming County,79.61,74.02
Pennsylvania,York County,81.48,76.75
Rhode Island,Bristol County,82.6,77.72
Rhode Island,Kent County,80.6,76.28
Rhode Island,Newport County,82.92,78.12
Rhode Island,Providence County,81.16,76.3
Rhode Island,Washington County,82.62,77.44
South Carolina,Abbeville County,80.18,73.5
South Carolina,Aiken County,79.44,74.98
South Carolina,Allendale County,76.33,69.99
South Carolina,Anderson County,79.09,72.96
South Carolina,Bamberg County,76.33,69.99
South Carolina,Barnwell County,76.6,70.56
South Carolina,Beaufort County,83.5,79.22
South Carolina,Berkeley County,79.72,74.97
South Carolina,Calhoun County,77.77,72.66
South Carolina,Charleston County,80.56,74.68
South Carolina,Cherokee County,77.58,71.57
South Carolina,Chester County,77.74,70.13
South Carolina,Chesterfield County,76.61,70.98
South Carolina,Clarendon County,78.72,70.86
South Carolina,Colleton County,76.5,68.37
South Carolina,Darlington County,76.02,70.06
South Carolina,Dillon County,75.28,70.03
South Carolina,Dorchester County,80.1,75.56
South Carolina,Edgefield County,79.5,74.73
South Carolina,Fairfield County,77.36,70.36
South Carolina,Florence County,77.22,70.47
South Carolina,Georgetown County,78.91,72.9
South Carolina,Greenville County,79.84,75.38
South Carolina,Greenwood County,78.62,73.61
South Carolina,Hampton County,77.16,70.04
South Carolina,Horry County,80.05,73.78
South Carolina,Jasper County,76.38,70.92
South Carolina,Kershaw County,78.65,73.1
South Carolina,Lancaster County,79.37,73.58
South Carolina,Laurens County,77.18,70.68
South Carolina,Lee County,76.93,68.22
South Carolina,Lexington County,79.73,74.82
South Carolina,McCormick County,80.18,73.5
South Carolina,Marion County,75.5,68.23
South Carolina,Marlboro County,75.76,70.35
South Carolina,Newberry County,78.5,72.25
South Carolina,Oconee County,79.55,73.6
South Carolina,Orangeburg County,75.72,69.25
South Carolina,Pickens County,79.88,73.25
South Carolina,Richland County,79.97,74.7
South Carolina,Saluda County,79.87,74.6
South Carolina,Spartanburg County,78.3,73.04
South Carolina,Sumter County,78.09,72.92
South Carolina,Union County,76.41,70.42
South Carolina,Williamsburg County,76.34,69.92
South Carolina,York County,80.02,75.01
South Dakota,Aurora County,82.21,77.41
South Dakota,Beadle County,81.32,75.83
South Dakota,Bennett County,77.43,69.02
South Dakota,Bon Homme County,82.47,76.36
South Dakota,Brookings County,82.5,78.01
South Dakota,Brown County,82.32,76.9
South Dakota,Brule County,81.74,75.8
South Dakota,Buffalo County,81.32,75.83
South Dakota,Butte County,81.04,76.08
South Dakota,Campbell County,82.57,77.19
South Dakota,Charles Mix County,82.47,76.36
South Dakota,Clark County,80.42,75.8
South Dakota,Clay County,82.59,77.42
South Dakota,Codington County,81.84,76.67
South Dakota,Corson County,77.74,72.83
South Dakota,Custer County,78.36,68.78
South Dakota,Davison County,81.01,76.74
South Dakota,Day County,79.78,77.55
South Dakota,Deuel County,81.84,76.67
South Dakota,Dewey County,77.74,72.83
South Dakota,Douglas County,82.21,77.41
South Dakota,Edmunds County,82.57,77.19
South Dakota,Fall River County,78.36,68.78
South Dakota,Faulk County,82.32,76.9
South Dakota,Grant County,81.84,76.67
South Dakota,Gregory County,81.74,75.8
South Dakota,Haakon County,82.08,77.26
South Dakota,Hamlin County,80.42,75.8
South Dakota,Hand County,81.32,75.83
South Dakota,Hanson County,81.01,76.74
South Dakota,Harding County,81.04,76.08
South Dakota,Hughes County,81.48,76.93
South Dakota,Hutchinson County,82.21,77.41
South Dakota,Hyde County,82.32,76.9
South Dakota,Jackson County,77.43,69.02
South Dakota,Jerauld County,81.32,75.83
South Dakota,Jones County,82.08,77.26
South Dakota,Kingsbury County,80.42,75.8
South Dakota,Lake County,82.29,77.28
South Dakota,Lawrence County,81.39,76.61
South Dakota,Lincoln County,84.11,80.04
South Dakota,Lyman County,81.48,76.93
South Dakota,McCook County,81.01,76.74
South Dakota,McPherson County,82.57,77.19
South Dakota,Marshall County,79.78,77.55
South Dakota,Meade County,81.04,76.08
South Dakota,Mellette County,77.43,69.02
South Dakota,Miner County,81.01,76.74
South Dakota,Minnehaha County,81.22,76.28
South Dakota,Moody County,82.29,77.28
South Dakota,Pennington County,82.08,77.26
South Dakota,Perkins County,81.04,76.08
South Dakota,Potter County,77.74,72.83
South Dakota,Roberts County,79.78,77.55
South Dakota,Sanborn County,81.32,75.83
South Dakota,Shannon County,78.36,68.78
South Dakota,Spink County,79.78,77.55
South Dakota,Stanley County,82.08,77.26
South Dakota,Sully County,82.08,77.26
South Dakota,Todd County,77.43,69.02
South Dakota,Tripp County,81.74,75.8
South Dakota,Turner County,82.61,77.59
South Dakota,Union County,82.59,77.42
South Dakota,Walworth County,82.57,77.19
South Dakota,Yankton County,82.61,77.59
South Dakota,Ziebach County,77.74,72.83
Tennessee,Anderson County,77.71,73.8
Tennessee,Bedford County,77.94,73.89
Tennessee,Benton County,76.65,68.7
Tennessee,Bledsoe County,78.12,73.53
Tennessee,Blount County,79.88,74.26
Tennessee,Bradley County,79.2,73.59
Tennessee,Campbell County,76.66,70.57
Tennessee,Cannon County,77.72,71.87
Tennessee,Carroll County,75.84,70.86
Tennessee,Carter County,78.55,72.87
Tennessee,Cheatham County,77.37,72.9
Tennessee,Chester County,79.57,73.48
Tennessee,Claiborne County,77.52,70.26
Tennessee,Clay County,77.61,71.85
Tennessee,Cocke County,77.86,70.67
Tennessee,Coffee County,77.25,72.73
Tennessee,Crockett County,78.04,71.9
Tennessee,Cumberland County,79.82,74.77
Tennessee,Davidson County,79.1,73.65
Tennessee,Decatur County,77.73,72.01
Tennessee,DeKalb County,77.72,71.87
Tennessee,Dickson County,78.22,73.39
Tennessee,Dyer County,77.41,72.81
